"obsnr"	"horse"	"engTreat5"	"S"	"A"	"W"	"PC3"	"PC4"
"1"	1	"B1"	"Normal"	-4.99389204610658	0.0127102753901161	-0.00154137974906864	-0.0255858524197574	0.0381512593532106
"2"	2	"B1"	"Normal"	-5.68097978403262	-0.0318771108249772	-0.000889389624286942	-0.0195826692532486	0.0261900412701602
"3"	3	"B1"	"Normal"	-5.66089195102669	-0.00328932515099677	-0.00103194255518333	-0.00788529541741817	9.35506840532894e-05
"4"	4	"B1"	"Normal"	-5.86216652589002	0.000954900588124995	-0.000372549913139952	-0.0171395630225035	0.0302372681829502
"5"	5	"B2"	"Normal"	-5.44725180224685	-0.11556573211591	0.000411264043150963	-0.00552311604627872	-0.0417424627917371
"6"	6	"B2"	"Normal"	-4.81951774341029	-0.110571717823405	0.00182437006464373	0.00148175514677916	-0.0378576504435906
"7"	7	"B2"	"Normal"	-4.97970701344415	-0.153871927691363	-9.7013328475292e-05	-0.0142660214159267	-0.0354478364460804
"8"	8	"B2"	"Normal"	-4.15054523081874	-0.215411120724926	0.00178945656359817	0.00593388210726945	-0.0252867042054147
"9"	9	"B3"	"Normal"	-5.6960191894242	-0.00640441078015388	0.00073976829716637	0.00262885528062488	-0.00437597822747403
"10"	10	"B3"	"Normal"	-6.17466889705797	0.00527542555778058	0.000784232515992397	0.0111862177087612	-0.0157557539966373
"11"	11	"B3"	"Normal"	-6.0128865664366	-0.0354533479413429	0.000489913510131383	-0.00343087559194369	-0.0336893244390741
"12"	12	"B4"	"Normal"	-6.28407816375707	-0.0658319432386112	-0.000587689455979888	-0.0071484676825051	-0.000706152288397679
"13"	13	"B4"	"Normal"	-5.457875640627	0.0431296026294165	0.000790003839618969	0.0048155894337104	0.00304300446098735
"14"	14	"B4"	"Normal"	-6.27186656188682	-0.0654020004095373	0.000650299495523164	-0.00187645991160147	-0.00345288689150858
"15"	15	"B4"	"Normal"	-6.28277513400315	-0.0320871542794797	-0.000601393195906436	-0.00825077561192401	-0.00326634645835731
"16"	16	"B1"	"Left-fore_Right-hind"	-5.78174931640425	0.147215507355128	0.000221707214160476	-0.000444040860505681	0.0411023285148617
"17"	17	"B1"	"Left-fore_Right-hind"	-2.93962482418838	0.211980052220668	0.00474032430695056	0.0566000524235171	-0.00775770009049996
"18"	18	"B1"	"Right-fore_Left-hind"	-4.47125050283886	-0.0771362390490619	-0.00206045545756417	-0.0351488169014134	0.0278103501986273
"19"	19	"B1"	"Right-fore_Left-hind"	-2.96145294990986	-0.171800118326915	-0.00514065340448555	-0.0535023417263121	-0.0299030990475722
"20"	20	"B1"	"Right-fore_Left-hind"	-4.38525947861479	-0.166938803145995	-0.00189797184520481	-0.0443839244583354	0.0173194309491291
"21"	21	"B1"	"Right-fore_Left-hind"	-3.76078630851894	-0.335072857350399	-0.00213185758374666	-0.0445469836365482	-0.00572159678595103
"22"	22	"B1"	"Left-fore_Right-hind"	-5.12355704959878	0.186251950513971	-0.000831684195847334	0.00356549878505944	0.0327180944107901
"23"	23	"B1"	"Left-fore_Right-hind"	-3.40697800920127	0.470271751611782	0.00116151970882306	0.0571221238024382	0.0112464127102125
"24"	24	"B1"	"Normal"	-6.42281805749833	0.0052146690152394	-0.000532290523033437	-0.0147896305235087	0.0269509406389479
"25"	25	"B2"	"Left-fore_Right-hind"	-4.35468073954584	-0.0188147248261884	0.00144831013663331	0.0179111343554167	-0.0093808619482891
"26"	26	"B2"	"Left-fore_Right-hind"	-2.93601224932438	0.0437548665841515	0.0036439592688784	0.054219712969953	-0.0205633040310246
"27"	27	"B2"	"Right-fore_Left-hind"	-3.92365012168468	-0.392887016497547	-0.000415476474958869	-0.0270668119808825	-0.0141604225562436
"28"	28	"B2"	"Right-fore_Left-hind"	-2.7705004051291	-0.668096368722497	-0.00230471099249026	-0.0492128754480747	-0.0220048151291983
"29"	29	"B2"	"Right-fore_Left-hind"	-5.69958560738461	-0.104103555143536	0.000889150322488048	-0.00260270043814618	-0.0217436536743718
"30"	30	"B2"	"Right-fore_Left-hind"	-4.37127750638632	-0.266067327676109	-0.000769277062529404	-0.0236540973879111	-0.00165922657393908
"31"	31	"B2"	"Left-fore_Right-hind"	-3.9040765558883	0.205235190889068	0.00255460563177822	0.0344851013341623	-0.0107304685489518
"32"	32	"B2"	"Left-fore_Right-hind"	-3.41487245446601	0.479438495818142	0.00146566564689531	0.0504913002221684	0.00217987487268457
"33"	33	"B2"	"Normal"	-5.12321503313586	-0.196420906585253	0.000198196771285762	-0.0140080904100044	-0.0171547088390751
"34"	34	"B3"	"Left-fore_Right-hind"	-4.58943648075823	0.0657218490226037	0.0013679942234923	0.0146938562465798	0.0249529026979792
"35"	35	"B3"	"Left-fore_Right-hind"	-2.99785679097867	0.337431438251339	0.0040795982827165	0.0517230804397547	0.0236332354778498
"36"	36	"B3"	"Right-fore_Left-hind"	-4.81426361569123	-0.195380990353473	-0.000277729762960314	-0.0226345864517975	0.0125071077051169
"37"	37	"B3"	"Right-fore_Left-hind"	-2.2687073546187	-0.650571186944443	-0.00470664595879639	-0.0720857503782814	0.00896232604942267
"38"	38	"B3"	"Right-fore_Left-hind"	-4.26368148722082	-0.245694589808431	0.000112590056858777	-0.00828099235657467	0.0130592366948894
"39"	39	"B3"	"Right-fore_Left-hind"	-3.82287002057984	-0.292417072832909	-0.000539391104637917	-0.032507091968786	-0.0269429582553149
"40"	40	"B3"	"Normal"	-5.11854238806549	-0.0404569746089793	0.00103782268205963	0.000956720991816022	-0.0061897917925663
"41"	41	"B4"	"Left-fore_Right-hind"	-5.83562065966962	-0.00345415902408566	0.000601451513494389	0.00455761861027007	-0.0092228090113343
"42"	42	"B4"	"Left-fore_Right-hind"	-2.01471363362073	0.122790929554258	0.00917045095659761	0.0716160638712426	-0.0234462398406657
"43"	43	"B4"	"Right-fore_Left-hind"	-2.53700677497465	-0.364010379785357	-0.00330071731537327	-0.0181824807269439	0.0596924451132333
"44"	44	"B4"	"Right-fore_Left-hind"	-2.05352697015076	-0.571138053456547	-0.0069372092806643	-0.0772161427295406	0.0217610894301488
"45"	45	"B4"	"Right-fore_Left-hind"	-4.52839796511558	-0.259269067163664	0.00036365530876848	-0.000836788015601904	-0.00723029140556561
"46"	46	"B4"	"Right-fore_Left-hind"	-3.81950654221315	-0.423435656172797	8.1230643337482e-05	-0.0331174039601559	-0.00220897010494644
"47"	47	"B4"	"Left-fore_Right-hind"	-6.24493481758566	0.0808655238644824	0.000222882856905478	0.0141103884007094	-0.0121220627512041
"48"	48	"B4"	"Left-fore_Right-hind"	-5.10343090659694	0.130672507892921	0.000946025462613347	0.019744442148368	0.00474182888529037
"49"	49	"B4"	"Normal"	-6.49385572883045	-0.0797633421202842	0.000390009640047553	0.000242348960590536	-0.021284154971681
"50"	50	"B5"	"Left-fore_Right-hind"	-4.42736262814469	0.178977819935251	0.000575922411923162	0.0156609490373973	0.006080520889788
"51"	51	"B5"	"Left-fore_Right-hind"	-3.37389815109662	0.253785681251507	0.00330071759166137	0.0424339560288897	1.72821439399238e-05
"52"	52	"B5"	"Right-fore_Left-hind"	-4.52730029087481	-0.111482679422711	-0.00237065573882506	-0.022243029413519	0.00233688522986543
"53"	53	"B5"	"Right-fore_Left-hind"	-3.80728940477884	-0.130969986965917	-0.00342251705998862	-0.0252808492667193	-0.00923931413946102
"54"	54	"B5"	"Right-fore_Left-hind"	-2.90676519096487	-0.587595850208889	-0.0033007171922608	-0.0436511624639563	-0.0338057639697639
